Type;auto_price;auto_year;auto_owners;auto_guarantee;auto_mileage;auto_engine;auto_transmission;auto_drive_unit;auto_wheel;auto_carcase;auto_color;link
"
        Mercedes C-Класс АКПП 2013 с пробегом 169 428 км        ID
                    16032821        
";"
                1 069 000                ₽ ";"
              2013            ";"
                2                владельца              ";"до
                  11.2023                ";"
              169 428 км
            ";"
              1.8 л /
              204 л.с. /
              Бензин                          ";"
              Автоматическая            ";"
              Задний            ";Левый;"
              Седан            ";"
              Белый            ";https://rolf-probeg.ru//spb/cars/mercedes/c-klasse/16032821/
"
        ŠKODA Superb РКПП 2017 с пробегом 109 216 км        ID
                    16041462        
";"
                1 700 000                ₽ ";"
              2017            ";"
                1                владелец              ";"до
                  11.2023                ";"
              109 216 км
            ";"
              1.8 л /
              180 л.с. /
              Бензин                          ";"
              Робот            ";"
              Передний            ";Левый;"
              Лифтбек            ";"
              Серебристый            ";https://rolf-probeg.ru//spb/cars/skoda/superb/16041462/
"
        Mitsubishi Outlander CVT 2016 с пробегом 163 499 км        ID
                    14469019        
";"
                1 289 000                ₽ ";"
              2016            ";"
                1                владелец              ";"до
                  11.2023                ";"
              163 499 км
            ";"
              2.0 л /
              146 л.с. /
              Бензин                          ";"
              Вариатор            ";"
              Полный            ";Левый;"
              Внедорожник 5 дв.            ";"
              Серебристый            ";https://rolf-probeg.ru//spb/cars/mitsubishi/outlander/14469019/
"
        Volkswagen Polo МКПП 2017 с пробегом 76 932 км        ID
                    16045145        
";"
                725 000                ₽ ";"
              2017            ";"
                1                владелец              ";"до
                  11.2023                ";"
              76 932 км
            ";"
              1.6 л /
              90 л.с. /
              Бензин                          ";"
              Механическая            ";"
              Передний            ";Левый;"
              Седан            ";"
              Белый            ";https://rolf-probeg.ru//spb/cars/volkswagen/polo/16045145/
"
        ŠKODA Karoq АКПП 2020 с пробегом 30 816 км        ID
                    16046920        
";"
                1 961 000                ₽ ";"
              2020            ";"
                1                владелец              ";"до
                  03.2023                ";"
              30 816 км
            ";"
              1.4 л /
              150 л.с. /
              Бензин                          ";"
              Автоматическая            ";"
              Передний            ";Левый;"
              Внедорожник 5 дв.            ";"
              Черный            ";https://rolf-probeg.ru//spb/cars/skoda/karoq/16046920/
"
        Toyota Camry АКПП 2017 с пробегом 90 587 км        ID
                    16052736        
";"
                1 753 000                ₽ ";"
              2017            ";"
                2                владельца              ";"до
                  12.2023                ";"
              90 587 км
            ";"
              2.5 л /
              181 л.с. /
              Бензин                          ";"
              Автоматическая            ";"
              Передний            ";Левый;"
              Седан            ";"
              Темно-серый            ";https://rolf-probeg.ru//spb/cars/toyota/camry/16052736/
"
        Volkswagen Caddy МКПП 2013 с пробегом 108 030 км        ID
                    16054385        
";"
                759 000                ₽ ";"
              2013            ";"
                1                владелец              ";"до
                  12.2023                ";"
              108 030 км
            ";"
              1.6 л /
              75 л.с. /
              Дизель                          ";"
              Механическая            ";"
              Передний            ";Левый;"
              Фургон Kasten            ";"
              Желтый            ";https://rolf-probeg.ru//spb/cars/volkswagen/caddy/16054385/
"
        Nissan X-Trail CVT 2020 с пробегом 72 900 км        ID
                    16065684        
";"
                2 319 000                ₽ ";"
              2020            ";"
                1                владелец              ";"до
                  10.2023                ";"
              72 900 км
            ";"
              2.5 л /
              171 л.с. /
              Бензин                          ";"
              Вариатор            ";"
              Полный            ";Левый;"
              Внедорожник 5 дв.            ";"
              Белый            ";https://rolf-probeg.ru//spb/cars/nissan/x-trail/16065684/
"
        Audi A6 РКПП 2012 с пробегом 247 259 км        ID
                    12990210        
";"
                1 467 000                ₽ ";"
              2012            ";"
                3                владельца              ";"до
                  01.2024                ";"
              247 259 км
            ";"
              3.0 л /
              245 л.с. /
              Дизель                          ";"
              Робот            ";"
              Полный            ";Левый;"
              Седан            ";"
              Черный            ";https://rolf-probeg.ru//spb/cars/audi/a6/12990210/
"
        Kia Optima АКПП 2016 с пробегом 63 939 км        ID
                    16069652        
";"
                1 423 000                ₽ ";"
              2016            ";"
                1                владелец              ";"до
                  01.2024                ";"
              63 939 км
            ";"
              2.0 л /
              150 л.с. /
              Бензин                          ";"
              Автоматическая            ";"
              Передний            ";Левый;"
              Седан            ";"
              Коричневый            ";https://rolf-probeg.ru//spb/cars/kia/optima/16069652/
"
        Volkswagen Polo АКПП 2021 с пробегом 3 590 км        ID
                    16070100        
";"
                1 276 000                ₽ ";"
              2021            ";"
                1                владелец              ";"до
                  05.2024                ";"
              3 590 км
            ";"
              1.6 л /
              110 л.с. /
              Бензин                          ";"
              Автоматическая            ";"
              Передний            ";Левый;"
              Лифтбек            ";"
              Серый            ";https://rolf-probeg.ru//spb/cars/volkswagen/polo/16070100/
"
        Mitsubishi Outlander CVT 2019 с пробегом 60 394 км        ID
                    15231845        
";"
                2 156 000                ₽ ";"
              2019            ";"
                1                владелец              ";"до
                  06.2022                ";"
              60 394 км
            ";"
              2.0 л /
              146 л.с. /
              Бензин                          ";"
              Вариатор            ";"
              Полный            ";Левый;"
              Внедорожник 5 дв.            ";"
              Белый            ";https://rolf-probeg.ru//spb/cars/mitsubishi/outlander/15231845/
"
        Ford Fusion (North America) АКПП 2019 с пробегом 89 872 км        ID
                    15823963        
";"
                1 347 000                ₽ ";"
              2019            ";"
                1                владелец              ";"до
                  01.2024                ";"
              89 872 км
            ";"
              1.5 л /
              184 л.с. /
              Бензин                          ";"
              Автоматическая            ";"
              Передний            ";Левый;"
              Седан            ";"
              Серый            ";https://rolf-probeg.ru//spb/cars/ford/fusion_na/15823963/
"
        Hyundai Solaris МКПП 2017 с пробегом 58 681 км        ID
                    16071416        
";"
                828 000                ₽ ";"
              2017            ";"
                1                владелец              ";"до
                  04.2022                ";"
              58 681 км
            ";"
              1.4 л /
              100 л.с. /
              Бензин                          ";"
              Механическая            ";"
              Передний            ";Левый;"
              Седан            ";"
              Синий            ";https://rolf-probeg.ru//spb/cars/hyundai/solaris/16071416/
"
        Hyundai ix35 АКПП 2014 с пробегом 71 775 км        ID
                    16069401        
";"
                1 101 000                ₽ ";"
              2014            ";"
                3                владельца              ";"до
                  01.2024                ";"
              71 775 км
            ";"
              2.0 л /
              150 л.с. /
              Бензин                          ";"
              Автоматическая            ";"
              Передний            ";Левый;"
              Внедорожник 5 дв.            ";"
              Серебристый            ";https://rolf-probeg.ru//spb/cars/hyundai/ix35/16069401/
"
        LADA (ВАЗ) Vesta МКПП 2018 с пробегом 61 564 км        ID
                    16072670        
";"
                851 000                ₽ ";"
              2018            ";"
                1                владелец              ";"до
                  01.2024                ";"
              61 564 км
            ";"
              1.6 л /
              106 л.с. /
              Бензин                          ";"
              Механическая            ";"
              Передний            ";Левый;"
              Седан Cross            ";"
              Белый            ";https://rolf-probeg.ru//spb/cars/lada--vaz-/vesta/16072670/
"
        Ford Focus МКПП 2011 с пробегом 280 352 км        ID
                    12773338        
";"
                469 900                ₽ ";"
              2011            ";"
                2                владельца              ";"до
                  01.2024                ";"
              280 352 км
            ";"
              1.6 л /
              105 л.с. /
              Бензин                          ";"
              Механическая            ";"
              Передний            ";Левый;"
              Хэтчбек 5 дв.            ";"
              Красный            ";https://rolf-probeg.ru//spb/cars/ford/focus/12773338/
"
        Volkswagen Polo АКПП 2012 с пробегом 123 375 км        ID
                    16072252        
";"
                571 000                ₽ ";"
              2012            ";"
                5                владельцев              ";"до
                  01.2024                ";"
              123 375 км
            ";"
              1.6 л /
              105 л.с. /
              Бензин                          ";"
              Автоматическая            ";"
              Передний            ";Левый;"
              Седан            ";"
              Белый            ";https://rolf-probeg.ru//spb/cars/volkswagen/polo/16072252/
"
        Citroen C4 АКПП 2021 с пробегом 7 956 км        ID
                    16073204        
";"
                1 516 000                ₽ ";"
              2021            ";"
                1                владелец              ";"до
                  08.2024                ";"
              7 956 км
            ";"
              1.6 л /
              115 л.с. /
              Бензин                          ";"
              Автоматическая            ";"
              Передний            ";Левый;"
              Седан            ";"
              Серебристый            ";https://rolf-probeg.ru//spb/cars/citroen/c4/16073204/
"
        Nissan X-Trail CVT 2020 с пробегом 16 800 км        ID
                    16072960        
";"
                2 576 000                ₽ ";"
              2020            ";"
                1                владелец              ";"до
                  06.2023                ";"
              16 800 км
            ";"
              2.5 л /
              171 л.с. /
              Бензин                          ";"
              Вариатор            ";"
              Полный            ";Левый;"
              Внедорожник 5 дв.            ";"
              Серый            ";https://rolf-probeg.ru//spb/cars/nissan/x-trail/16072960/
"
        Citroen C5 МКПП 2010 с пробегом 159 963 км        ID
                    16072914        
";"
                588 000                ₽ ";"
              2010            ";"
                3                владельца              ";"до
                  01.2024                ";"
              159 963 км
            ";"
              1.6 л /
              150 л.с. /
              Бензин                          ";"
              Механическая            ";"
              Передний            ";Левый;"
              Седан            ";"
              Синий            ";https://rolf-probeg.ru//spb/cars/citroen/c5/16072914/
"
        Hyundai Creta АКПП 2021 с пробегом 7 км        ID
                    16072977        
";"
                1 867 000                ₽ ";"
              2021            ";"
                1                владелец              ";"до
                  12.2026                ";"
              7 км
            ";"
              1.6 л /
              121 л.с. /
              Бензин                          ";"
              Автоматическая            ";"
              Полный            ";Левый;"
              Внедорожник 5 дв.            ";"
              Черный            ";https://rolf-probeg.ru//spb/cars/hyundai/creta/16072977/
"
        Ford Focus АКПП 2018 с пробегом 106 310 км        ID
                    14895123        
";"
                1 109 000                ₽ ";"
              2018            ";"
                1                владелец              ";"до
                  01.2024                ";"
              106 310 км
            ";"
              1.5 л /
              150 л.с. /
              Бензин                          ";"
              Автоматическая            ";"
              Передний            ";Левый;"
              Универсал 5 дв.            ";"
              Серый            ";https://rolf-probeg.ru//spb/cars/ford/focus/14895123/
